International_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.eia.gov/beta/international/data/browser/#/?pa=g0q0000g0000100001004&c=ruvvvvvfvtvvvv1vvvvvvfvvvvvvfvvvsu20evvvvvvvvvvvfuvg&ct=0&tl_id=3002-A&vs=INTL.3-1-AFG-BCF.A&cy=2011&vo=0&v=H&start=1980&s=INTL.44-1-AFRC-QBTU.A&showdm=y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Nov 12 2019 10:54:34 GMT-0600 (Central Standard Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,China,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,508,526,533.2565,558.33,588.7,601.41,711.844455,801.29735,821.603475,889.337645,962.33375,1070.39765,1152.6816,1211.3045,1439.79255,1762.9248,2066.56317,2446.27005,2685.3526,2975.00623,3334.08915,3628.651565,3665.55574,3986.00405,4359.91927,4559.625595,NA,NA,-,-
,Colombia,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,186,187,189,194.94,271.22,332.6673,453.4446,507.8297,533.60965,513.12695,529.37185,533.60965,513.4801,504.65135,555.1518,782.93355,931.96285,1025.90075,1196.82535,1123.7233,1114.5414,1110.3036,1100.76855,1042.85195,979.28495,NA,NA,-,-
,Comoros,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-,-
,Congo-Brazzaville,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,45.9095,45.91,45.91,46.96895,141.61315,133.84385,134.197,127.134,124.3088,118.30525,116.5395,111.24225,250.7365,264.8625,268.74715,271.57235,281.8137,297.70545,333.72675,328.4295,337.6114,330.19525,324.898,NA,NA,-,-
,Congo-Kinshasa,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1819,7.41615,7.41615,7.41615,7.41615,9.1819,NA,NA,-,-
,Cook Islands,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-,-
,Costa Rica,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-,-
,Cote dIvoire,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1.41,12.7134,21.189,28.252,47.3221,47.67525,47.67525,47.3221,47.3221,45.9095,45.9095,45.9095,52.9725,56.504,56.504,61.977825,61.09495,66.3922,75.71536,76.315715,75.64473,NA,NA,-,-
,Croatia,bcf,--,--,--,--,--,--,--,--,--,--,--,--,64.273,73.03142,63.57,69.57,63.57,56.504,55.44455,54.73825,58.6229,62.1544,54.73825,65.33275,57.9166,54.3851,71.68945,71.936655,71.866025,69.9237,73.94961,75.397525,70.13559,62.1544,61.695305,64.591135,NA,NA,-,-
,Cuba,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14,1.18,1.22,1.25,1.22,1.448404967,1.518545,35.315,20.83585,24.36735,28.252,17.6575,19.42325,20.4827,20.4827,21.189,19.42325,30.01775,49.79415,49.79415,43.0843,39.5528,39.69406,40.82414,44.85005,48.38155,NA,NA,-,-
,Cyprus,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-,-
,Czech Republic,bcf,--,--,--,--,--,--,--,--,--,--,--,--,--,8.405,10.28,8.97,8.33434,7.62804,8.05182,8.12245,7.733985,5.6504,5.403195,5.93292,7.592725,7.098315,6.85111,7.098315,7.027685,7.945875,8.68749,8.299025,9.287845,8.89938,9.146585,8.722805,NA,NA,-,-
,Denmark,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.809,147.82,153.62,166.899,234.14,192.431435,233.608725,350.3248,383.87405,406.8288,422.3674,414.95125,304.27404,290.00678,342.661445,375.786915,374.515575,331.46659,361.06056,300.46002,294.703675,235.868885,206.133655,174.915195,166.439595,166.439595,NA,NA,-,-
,Djibouti,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-,-
,Dominica,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-,-
,Dominican Republic,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-,-
,Ecuador,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,29.45470769,33.166823,23.66,23.66,37.43,37.4339,37.78705,37.78705,37.78705,39.90595,40.61225,38.8465,41.6717,43.0843,43.7906,44.14375,43.7906,44.14375,49.441,49.546945,47.216155,54.420415,57.49282,62.260345,59.223255,NA,NA,-,-
,Egypt,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,478,479,526.8998,548.8,562.57,631.4322,640.96725,645.20505,693.93975,860.2734,1062.9815,1107.12525,1215.5423,1296.0605,1670.3995,2111.837,2196.593,2312.07305,2443.44485,2368.9302,2339.9719,2314.086005,2180.70125,1907.01,1742.01832,NA,NA,-,-
,El Salvador,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-,-
,Equatorial Guinea,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,19.42325,20.13,20.83,31.43035,32.13665,35.66815,40.61225,44.14375,45.9095,120.071,134.197,88.2875,134.197,134.197,159.6238,266.62825,294.88025,299.11805,293.1145,295.58655,317.835,298.7649,296.646,NA,NA,-,-
,Eritrea,bcf,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-,-
,Estonia,bcf,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-,-
,Ethiopia,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-,-
,Falkland Islands,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-,-
,Faroe Islands,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-,-
,Fiji,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-,-
,Finland,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-,-
,Former Czechoslovakia,bcf,--,--,--,--,--,--,--,--,--,--,25,22,9.89,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-
