Entity,Code,Year,Oil Production - Tonnes (terawatt-hours),,,,,,,,,Entity ,Year,Total,Total
Africa,,1965,1238.960147,,,Other Africa,,1965,1.19789,,,Africa ,1965,1240.158037,1240.158037
Africa,,1966,1574.725428,,,Other Africa,,1966,1.19789,,,Africa ,1966,1575.923318,1575.923318
Africa,,1967,1734.08947,,,Other Africa,,1967,1.15137,,,Africa ,1967,1735.24084,1735.24084
Africa,,1968,2221.538947,,,Other Africa,,1968,1.03507,,,Africa ,1968,2222.574017,2222.574017
Africa,,1969,2822.172176,,,Other Africa,,1969,0.67454,,,Africa ,1969,2822.846716,2822.846716
Africa,,1970,3398.917898,,,Other Africa,,1970,0.51172,,,Africa ,1970,3399.429618,3399.429618
Africa,,1971,3184.419778,,,Other Africa,,1971,0.26749,,,Africa ,1971,3184.687268,3184.687268
Africa,,1972,3199.815431,,,Other Africa,,1972,0.32564,,,Africa ,1972,3200.141071,3200.141071
Africa,,1973,3338.46775,,,Other Africa,,1973,0.48846,,,Africa ,1973,3338.95621,3338.95621
Africa,,1974,3080.568044,,,Other Africa,,1974,0.29075,,,Africa ,1974,3080.858794,3080.858794
Africa,,1975,2819.913448,,,Other Africa,,1975,0.2326,,,Africa ,1975,2820.146048,2820.146048
Africa,,1976,3360.607208,,,Other Africa,,1976,14.72204637,,,Africa ,1976,3375.329254,3375.329254
Africa,,1977,3528.629112,,,Other Africa,,1977,14.10904313,,,Africa ,1977,3542.738155,3542.738155
Africa,,1978,3465.872926,,,Other Africa,,1978,18.04362549,,,Africa ,1978,3483.916551,3483.916551
Africa,,1979,3796.279452,,,Other Africa,,1979,32.24864808,,,Africa ,1979,3828.5281,3828.5281
Africa,,1980,3495.475302,,,Other Africa,,1980,45.61222099,,,Africa ,1980,3541.087523,3541.087523
Africa,,1981,2783.874761,,,Other Africa,,1981,70.05777808,,,Africa ,1981,2853.932539,2853.932539
Africa,,1982,2681.227871,,,Other Africa,,1982,87.76183313,,,Africa ,1982,2768.989704,2768.989704
Africa,,1983,2713.251117,,,Other Africa,,1983,95.75483819,,,Africa ,1983,2809.005955,2809.005955
Africa,,1984,2893.757967,,,Other Africa,,1984,120.9612018,,,Africa ,1984,3014.719169,3014.719169
Africa,,1985,3034.533682,,,Other Africa,,1985,141.9736084,,,Africa ,1985,3176.50729,3176.50729
Africa,,1986,3030.514475,,,Other Africa,,1986,136.8664409,,,Africa ,1986,3167.380916,3167.380916
Africa,,1987,3026.029055,,,Other Africa,,1987,128.6773234,,,Africa ,1987,3154.706378,3154.706378
Africa,,1988,3196.636197,,,Other Africa,,1988,124.4903316,,,Africa ,1988,3321.126529,3321.126529
Africa,,1989,3450.277961,,,Other Africa,,1989,115.2166208,,,Africa ,1989,3565.494582,3565.494582
Africa,,1990,3733.688214,,,Other Africa,,1990,111.7071213,,,Africa ,1990,3845.395335,3845.395335
Africa,,1991,3821.031609,,,Other Africa,,1991,103.5354488,,,Africa ,1991,3924.567058,3924.567058
Africa,,1992,3901.899761,,,Other Africa,,1992,96.22246643,,,Africa ,1992,3998.122227,3998.122227
Africa,,1993,3864.634077,,,Other Africa,,1993,96.91434919,,,Africa ,1993,3961.548426,3961.548426
Africa,,1994,3885.744391,,,Other Africa,,1994,91.26811427,,,Africa ,1994,3977.012505,3977.012505
Africa,,1995,3949.220004,,,Other Africa,,1995,91.22057185,,,Africa ,1995,4040.440576,4040.440576
Africa,,1996,4142.159483,,,Other Africa,,1996,100.0786176,,,Africa ,1996,4242.238101,4242.238101
Africa,,1997,4311.554302,,,Other Africa,,1997,109.3148949,,,Africa ,1997,4420.869197,4420.869197
Africa,,1998,4233.153397,,,Other Africa,,1998,97.06711383,,,Africa ,1998,4330.220511,4330.220511
Africa,,1999,4189.960076,,,Other Africa,,1999,87.20615603,,,Africa ,1999,4277.166232,4277.166232
Africa,,2000,4311.393137,,,Other Africa,,2000,84.32209963,,,Africa ,2000,4395.715237,4395.715237
Africa,,2001,4345.932913,,,Other Africa,,2001,79.00822687,,,Africa ,2001,4424.94114,4424.94114
Africa,,2002,4394.929746,,,Other Africa,,2002,78.94563489,,,Africa ,2002,4473.875381,4473.875381
Africa,,2003,4664.65216,,,Other Africa,,2003,81.19070349,,,Africa ,2003,4745.842863,4745.842863
Africa,,2004,5203.38711,,,Other Africa,,2004,100.2057112,,,Africa ,2004,5303.592821,5303.592821
Africa,,2005,5423.653866,,,Other Africa,,2005,102.5996587,,,Africa ,2005,5526.253525,5526.253525
Africa,,2006,5525.603239,,,Other Africa,,2006,132.3976083,,,Africa ,2006,5658.000847,5658.000847
Africa,,2007,5653.72031,,,Other Africa,,2007,111.2037392,,,Africa ,2007,5764.924049,5764.924049
Africa,,2008,5644.011705,,,Other Africa,,2008,107.2426423,,,Africa ,2008,5751.254347,5751.254347
Africa,,2009,5421.317991,,,Other Africa,,2009,105.5087547,,,Africa ,2009,5526.826746,5526.826746
Africa,,2010,5561.131524,,,Other Africa,,2010,88.64072784,,,Africa ,2010,5649.772252,5649.772252
Africa,,2011,4678.409834,,,Other Africa,,2011,120.2606687,,,Africa ,2011,4798.670503,4798.670503
Africa,,2012,5118.923201,,,Other Africa,,2012,118.6765145,,,Africa ,2012,5237.599716,5237.599716
Africa,,2013,4755.629088,,,Other Africa,,2013,133.1653404,,,Africa ,2013,4888.794428,4888.794428
Africa,,2014,4584.181146,,,Other Africa,,2014,136.0632692,,,Africa ,2014,4720.244415,4720.244415
Africa,,2015,4578.986646,,,Other Africa,,2015,147.0114625,,,Africa ,2015,4725.998109,4725.998109
Africa,,2016,4358.693198,,,Other Africa,,2016,134.7741316,,,Africa ,2016,4493.46733,4493.46733
,,,,,,,,,,,,,,,
Asia Pacific,,1965,522.2455403,,,Other Asia Pacific,,1965,19.52454753,,,Asia Pacific,1965,541.7700878,541.7700878
Asia Pacific,,1966,581.6402987,,,Other Asia Pacific,,1966,18.98122612,,,Asia Pacific,1966,600.6215248,600.6215248
